restaurant_id,restaurant_name,address,latitude,longitude,cuisine_types,avg_rating,num_reviews,opening_hours,contact_number,delivery_available,dine_in_available,features,restaurant_type,area,price_level,image_url
1,Hotel Darshini Palace,"18, Race Course, Coimbatore",10.957529,77.004885,South Indian,3.74,639,6:00-21:30,+91 422 2217756,False,False,Wifi;AC;Parking;Buffet,Fine Dining,RS Puram,₹₹₹,https://img.restaurant/1.jpg
2,Hotel Spice Hub,"16, Saibaba Colony, Coimbatore",11.023457,76.967494,"Snacks,Tandoor,North Indian",3.66,666,11:00-23:30,+91 422 2712210,True,True,Pet Friendly;Outdoor Seating;Play Area,Cafe,Peelamedu,₹₹₹,https://img.restaurant/2.jpg
3,Hotel Grand Point,"81, Gandhipuram, Coimbatore",10.986014,76.906506,Desserts,4.66,571,8:00-22:00,+91 422 2770833,False,False,AC;Play Area,Bakery,Gandhipuram,₹₹,https://img.restaurant/3.jpg
4,Hotel Flavours Court,"84, RS Puram, Coimbatore",11.050719,76.96083,"Arabian,South Indian",4.5,822,12:00-00:00,+91 422 2721829,True,False,AC;Buffet;Outdoor Seating,Cafe,Ukkadam,₹₹₹,https://img.restaurant/4.jpg
5,Hotel Zaiqa Garden,"73, Saibaba Colony, Coimbatore",11.020157,76.924885,"South Indian,Chinese,Snacks",3.72,223,12:00-00:00,+91 422 2493032,True,False,Wifi;Live Music;Outdoor Seating;AC,Cafe,Peelamedu,₹,https://img.restaurant/5.jpg
6,Hotel Flavours Hub,"66, RS Puram, Coimbatore",10.954381,76.921638,Desserts,4.01,859,7:00-23:00,+91 422 2979345,False,True,Parking;Pet Friendly;Play Area;Buffet;Outdoor Seating,Quick Service,Saibaba Colony,₹,https://img.restaurant/6.jpg
7,Hotel Darshini Hub,"96, Gandhipuram, Coimbatore",10.957024,77.000198,"Arabian,South Indian",3.22,1081,12:00-00:00,+91 422 2738576,False,False,Wifi;Buffet;Play Area,Bakery,Saibaba Colony,₹₹,https://img.restaurant/7.jpg
8,Hotel Sri Krishna Corner,"72, Ukkadam, Coimbatore",11.041821,76.916106,"Biriyani,North Indian",3.65,611,11:00-23:30,+91 422 2105281,False,True,Buffet;Parking;Live Music;Play Area,Quick Service,Peelamedu,₹₹₹,https://img.restaurant/8.jpg
9,Hotel Flavours Hub,"22, Saibaba Colony, Coimbatore",11.027419,76.914538,"North Indian,Snacks,Tandoor",3.42,898,7:00-23:00,+91 422 2143921,True,True,Pet Friendly;Family Friendly;Outdoor Seating;Wifi;Buffet,Quick Service,Saibaba Colony,₹,https://img.restaurant/9.jpg
10,Hotel Flavours Stage,"15, RS Puram, Coimbatore",11.011199,76.990726,"Desserts,Chinese,Biriyani",4.17,1088,8:00-22:00,+91 422 2371230,True,True,Play Area;Outdoor Seating;AC,Casual Dining,Ukkadam,₹₹,https://img.restaurant/10.jpg
11,Hotel Grand Garden,"22, Peelamedu, Coimbatore",10.991312,76.921235,"Snacks,North Indian,Chinese",4.11,44,6:00-21:30,+91 422 2260825,True,True,Outdoor Seating;Wifi;Family Friendly;Pet Friendly,Bakery,Singanallur,₹₹,https://img.restaurant/11.jpg
12,Hotel Grand Cafe,"24, Ukkadam, Coimbatore",10.965762,76.933006,"Desserts,North Indian,Snacks",3.39,808,6:00-21:30,+91 422 2505653,True,True,Play Area;Parking;Buffet;Wifi,Quick Service,RS Puram,₹₹₹,https://img.restaurant/12.jpg
13,Hotel Flavours Bhurma,"96, Gandhipuram, Coimbatore",11.044523,76.952313,"Desserts,Biriyani",3.72,252,6:00-21:30,+91 422 2099080,True,True,Play Area;Outdoor Seating,Buffet,Gandhipuram,₹₹,https://img.restaurant/13.jpg
14,Hotel Grand Garden,"15, RS Puram, Coimbatore",11.037375,76.919206,"South Indian,Snacks,North Indian",4.21,309,7:00-23:00,+91 422 2452742,False,True,Parking;Wifi;AC;Live Music;Outdoor Seating,Fine Dining,Race Course,₹₹,https://img.restaurant/14.jpg
15,Hotel Darshini Palace,"24, Ukkadam, Coimbatore",11.054604,76.911305,"Tandoor,Chinese",4.08,462,12:00-00:00,+91 422 2168362,False,False,AC;Play Area;Parking;Live Music;Pet Friendly,Cafe,Gandhipuram,₹,https://img.restaurant/15.jpg
16,Hotel Aroma Hub,"12, Ukkadam, Coimbatore",11.058856,76.907389,South Indian,4.67,524,6:00-21:30,+91 422 2819939,True,True,Pet Friendly;Live Music;Outdoor Seating;Wifi;AC,Quick Service,Peelamedu,₹₹₹,https://img.restaurant/16.jpg
17,Hotel Annapoorna Hub,"70, RS Puram, Coimbatore",10.999463,76.990281,"Biriyani,Snacks,Arabian",3.66,753,11:00-23:30,+91 422 2271196,False,False,Family Friendly;Play Area;Parking;Buffet,Cafe,Saibaba Colony,₹₹₹,https://img.restaurant/17.jpg
18,Hotel Annapoorna Corner,"15, Ukkadam, Coimbatore",10.97408,76.977418,"Arabian,North Indian,South Indian",3.77,66,11:00-23:30,+91 422 2328149,True,False,Play Area;Pet Friendly,Fine Dining,Saibaba Colony,₹₹,https://img.restaurant/18.jpg
19,Hotel Royal Garden,"73, Race Course, Coimbatore",10.959092,76.924799,Arabian,4.54,1029,7:00-23:00,+91 422 2866404,False,True,Wifi;Live Music;Buffet;Outdoor Seating;Play Area,Quick Service,Gandhipuram,₹₹,https://img.restaurant/19.jpg
20,Hotel Spice Bhurma,"10, Saibaba Colony, Coimbatore",10.981829,76.892876,"Chinese,South Indian,Arabian",4.85,318,7:00-23:00,+91 422 2422582,False,False,AC;Buffet;Pet Friendly;Family Friendly,Cafe,Singanallur,₹₹₹,https://img.restaurant/20.jpg
21,Hotel Zaiqa Point,"60, Peelamedu, Coimbatore",11.008386,76.926131,"Desserts,Snacks,South Indian",4.35,877,6:00-21:30,+91 422 2447225,False,True,Pet Friendly;Outdoor Seating;Play Area,Buffet,Ukkadam,₹,https://img.restaurant/21.jpg
22,Hotel Sri Krishna Bhurma,"52, Race Course, Coimbatore",10.963706,76.981751,Chinese,4.78,827,6:00-21:30,+91 422 2553469,False,False,AC;Wifi;Pet Friendly;Play Area,Buffet,Race Course,₹₹,https://img.restaurant/22.jpg
23,Hotel Spice Court,"23, RS Puram, Coimbatore",10.966685,76.904427,"North Indian,Tandoor,Arabian",4.27,418,8:00-22:00,+91 422 2268385,False,False,Play Area;Outdoor Seating;Family Friendly,Fine Dining,Ukkadam,₹,https://img.restaurant/23.jpg
24,Hotel Aroma Bhurma,"33, Saibaba Colony, Coimbatore",10.966497,76.982627,Tandoor,3.7,199,12:00-00:00,+91 422 2811578,True,False,Buffet;Parking;Live Music,Bakery,Singanallur,₹₹,https://img.restaurant/24.jpg
25,Hotel Flavours Cafe,"98, Saibaba Colony, Coimbatore",11.040957,76.984581,"Biriyani,Tandoor,Snacks",4.13,941,8:00-22:00,+91 422 2263209,True,False,Pet Friendly;AC;Parking,Cafe,Gandhipuram,₹,https://img.restaurant/25.jpg
26,Hotel Grand Garden,"50, RS Puram, Coimbatore",11.028825,76.918025,"Chinese,Tandoor,Snacks",4.65,892,6:00-21:30,+91 422 2051472,True,True,Outdoor Seating;Parking;Pet Friendly,Bakery,Ukkadam,₹₹,https://img.restaurant/26.jpg
27,Hotel Delight Point,"90, Singanallur, Coimbatore",10.998654,76.963568,"Biriyani,Arabian,Chinese",4.43,305,8:00-22:00,+91 422 2948453,True,True,Live Music;Outdoor Seating;Family Friendly;AC,Bakery,Singanallur,₹₹₹,https://img.restaurant/27.jpg
28,Hotel Aroma Bhurma,"27, Race Course, Coimbatore",11.038569,76.976958,North Indian,4.31,751,12:00-00:00,+91 422 2807674,True,False,Play Area;Family Friendly,Fine Dining,Gandhipuram,₹₹,https://img.restaurant/28.jpg
29,Hotel Zaiqa Cafe,"85, Race Course, Coimbatore",11.042433,76.989115,Tandoor,4.8,668,6:00-21:30,+91 422 2104019,True,True,Play Area;Buffet;Parking;Outdoor Seating,Fine Dining,Saibaba Colony,₹₹₹,https://img.restaurant/29.jpg
30,Hotel Delight Garden,"52, Race Course, Coimbatore",11.011346,77.003759,Tandoor,4.56,55,11:00-23:30,+91 422 2009695,False,True,Pet Friendly;AC;Buffet;Wifi,Cafe,RS Puram,₹₹,https://img.restaurant/30.jpg
31,Hotel Sri Krishna Palace,"12, Race Course, Coimbatore",10.96083,76.985967,"Biriyani,Snacks",3.66,904,8:00-22:00,+91 422 2600263,False,False,Family Friendly;Parking;Pet Friendly;AC,Quick Service,Gandhipuram,₹,https://img.restaurant/31.jpg
32,Hotel Zaiqa Corner,"42, RS Puram, Coimbatore",10.987374,76.974194,Tandoor,3.86,597,6:00-21:30,+91 422 2776175,True,False,AC;Buffet;Pet Friendly,Fine Dining,Singanallur,₹₹,https://img.restaurant/32.jpg
33,Hotel Grand Stage,"23, Gandhipuram, Coimbatore",10.994309,76.926111,North Indian,4.87,56,7:00-23:00,+91 422 2685813,True,True,Buffet;Family Friendly;Outdoor Seating;Live Music,Casual Dining,Gandhipuram,₹₹,https://img.restaurant/33.jpg
34,Hotel Aroma Stage,"94, RS Puram, Coimbatore",11.05303,76.941773,"South Indian,Chinese",4.07,845,11:00-23:30,+91 422 2351457,False,False,Pet Friendly;AC,Casual Dining,RS Puram,₹,https://img.restaurant/34.jpg
35,Hotel Grand Stage,"65, Ukkadam, Coimbatore",10.984464,76.89114,"Chinese,Biriyani,North Indian",4.85,335,8:00-22:00,+91 422 2829250,False,False,Pet Friendly;Wifi;AC;Play Area,Casual Dining,Race Course,₹₹₹,https://img.restaurant/35.jpg
36,Hotel Sri Krishna Roof,"80, Singanallur, Coimbatore",11.034776,76.892719,"Arabian,Snacks,Chinese",4.0,846,11:00-23:30,+91 422 2356557,True,False,Play Area;Family Friendly;Parking,Cafe,Saibaba Colony,₹,https://img.restaurant/36.jpg
37,Hotel Grand Palace,"31, Saibaba Colony, Coimbatore",11.017361,76.938835,"Biriyani,South Indian,Chinese",3.45,585,11:00-23:30,+91 422 2845522,True,False,AC;Buffet;Live Music;Wifi;Pet Friendly,Quick Service,Ukkadam,₹₹,https://img.restaurant/37.jpg
38,Hotel Aroma Corner,"81, Saibaba Colony, Coimbatore",11.018057,76.891488,"Tandoor,North Indian",3.43,1054,6:00-21:30,+91 422 2558686,False,False,Parking;Family Friendly,Buffet,Race Course,₹₹₹,https://img.restaurant/38.jpg
39,Hotel Delight Corner,"20, Saibaba Colony, Coimbatore",11.038967,76.984933,"Chinese,Arabian,Biriyani",4.88,532,6:00-21:30,+91 422 2316371,False,True,Buffet;Play Area;Live Music;AC;Outdoor Seating,Quick Service,Peelamedu,₹₹,https://img.restaurant/39.jpg
40,Hotel Annapoorna Palace,"75, Singanallur, Coimbatore",11.005353,76.937763,"North Indian,Desserts,Biriyani",3.39,106,8:00-22:00,+91 422 2147053,True,False,Play Area;Buffet;Wifi,Fine Dining,RS Puram,₹,https://img.restaurant/40.jpg
41,Hotel Zaiqa Point,"92, Gandhipuram, Coimbatore",11.014306,76.940748,Biriyani,3.57,1025,7:00-23:00,+91 422 2172800,False,False,Outdoor Seating;Wifi,Casual Dining,Singanallur,₹,https://img.restaurant/41.jpg
42,Hotel Royal Corner,"20, Ukkadam, Coimbatore",10.985988,76.928251,"Tandoor,Chinese,North Indian",3.76,709,11:00-23:30,+91 422 2627442,False,False,AC;Parking;Live Music,Buffet,Saibaba Colony,₹₹,https://img.restaurant/42.jpg
43,Hotel Royal Corner,"29, Ukkadam, Coimbatore",11.048239,76.958299,Tandoor,4.78,994,12:00-00:00,+91 422 2370001,True,False,Play Area;Wifi;Live Music;Family Friendly;Parking,Casual Dining,RS Puram,₹₹₹,https://img.restaurant/43.jpg
44,Hotel Delight Point,"10, Saibaba Colony, Coimbatore",10.965589,76.948007,"Biriyani,Tandoor,North Indian",4.38,1087,7:00-23:00,+91 422 2259574,False,False,Family Friendly;Parking,Cafe,Gandhipuram,₹₹,https://img.restaurant/44.jpg
45,Hotel Darshini Roof,"42, Race Course, Coimbatore",10.943103,76.910725,"Tandoor,Biriyani",3.57,439,11:00-23:30,+91 422 2177738,True,False,Wifi;Outdoor Seating;Parking;Live Music;AC,Casual Dining,Saibaba Colony,₹₹₹,https://img.restaurant/45.jpg
46,Hotel Sri Krishna Bhurma,"34, Race Course, Coimbatore",11.026104,76.918676,"Biriyani,South Indian,Arabian",4.76,306,8:00-22:00,+91 422 2526814,False,False,Family Friendly;Pet Friendly;Live Music,Bakery,Singanallur,₹₹,https://img.restaurant/46.jpg
47,Hotel Royal Point,"57, Race Course, Coimbatore",11.058848,76.94012,"Desserts,South Indian",4.78,123,7:00-23:00,+91 422 2251156,False,True,Live Music;Family Friendly;Parking,Bakery,Saibaba Colony,₹₹₹,https://img.restaurant/47.jpg
48,Hotel Flavours Palace,"94, Saibaba Colony, Coimbatore",11.018738,76.982286,"Desserts,South Indian",4.11,722,6:00-21:30,+91 422 2787200,False,True,Family Friendly;Outdoor Seating;Buffet,Casual Dining,Saibaba Colony,₹₹,https://img.restaurant/48.jpg
49,Hotel Spice Corner,"94, Ukkadam, Coimbatore",11.040087,76.895946,South Indian,4.9,168,11:00-23:30,+91 422 2024570,True,False,Wifi;Play Area;Family Friendly,Cafe,Singanallur,₹₹,https://img.restaurant/49.jpg
50,Hotel Annapoorna Stage,"23, RS Puram, Coimbatore",11.051351,76.994542,Arabian,4.23,628,6:00-21:30,+91 422 2163730,True,False,Family Friendly;Play Area;Wifi;AC;Pet Friendly,Buffet,Saibaba Colony,₹₹,https://img.restaurant/50.jpg
